id,topic,variant,question,answer,ref,source,visibility,type,weight,notes,created,modified,verified,status,tags
1,Powerplant,P2+,What is the maximum engine oil temperature?,129.5 deg,,,Hidden,Knowledge,0.4447931163012981,,18/05/2021,04/06/2025,,ok,
2,Limitations,P2+,What is the continuous oil temperature range?,10 deg to 129.5 deg,,,Hidden,Knowledge,0.22024405049160123,,18/05/2021,04/06/2025,,ok,opc
3,Limitations,P2+,What is the engine oil temperature caution range?,-45 to +10,,,Hidden,Knowledge,0.8395889089442788,,18/05/2021,04/06/2025,,ok,opc
4,Limitations,P2+,What is the minimum oil temperature for start (2mins)?,-35 deg,,,Hidden,Knowledge,0.49832650786265725,,18/05/2021,04/06/2025,,ok,opc
5,Limitations,P2+,What is the minimum eng oil temperature?,10 deg,,,Hidden,Knowledge,0.5608167038299143,,18/05/2021,04/06/2025,,ok,opc
6,Limitations,P2+,What is the engine pressure range for start (2mins)?,0 - 13.8 Bar,,,Hidden,Knowledge,0.8912558984011412,,18/05/2021,04/06/2025,,ok,opc
7,Limitations,P2+,What is the minimum engine oil pressure?,2.1 Bar,,,Reveal,Knowledge,0.02523051621392369,,18/05/2021,04/06/2025,,ok,opc
8,Limitations,P2+,What is the continuous engine oil pressure?,4 - 8.5 bar,Card 28,FRCs P2,Hidden,Knowledge,0.8451961888931692,,18/05/2021,04/06/2025,,ok,"frc,opc"
9,Limitations,P2+,What is the engine oil caution pressure range?,2.1 - 4 bar,,,Hidden,Knowledge,0.2811835026368499,,18/05/2021,04/06/2025,,ok,opc
10,Limitations,P2+,What is the maximum engine oil pressure (Trans max 10 min)?,13.8 Bar,,,Hidden,Knowledge,0.7166012367233634,,18/05/2021,04/06/2025,,ok,opc
11,Powerplant,P2+/T2+,What happens if both ENG MAIN switches are moved from OFF to IDLE at the same time?,"One engine will start first. When the start cycle is complete, the other engine will start. (06-88)",06-88,Training Manual,Reveal,Knowledge,0.01250341394916176,,19/05/2021,04/06/2025,,ok,
12,Lifting System,P2+/T2+,How many oil pumps are located within the MRGB?,2,,(01-16),Reveal,Knowledge,0.41010726476088166,,19/05/2021,05/06/2025,,ok,
13,Lifting System,P2+/T2+,"In the event of a HYD PRESS failure on the No 1 system, what other indications may appear?",P/R SAS would fail. (Card 36),,,Reveal,Knowledge,0.7554883882403373,,19/05/2021,05/06/2025,,ok,
14,Limitations,P2+/T2+,Engine start should be aborted if light-up is not achieved within what time frame?,15 seconds. (Card 26 – No ignition by 20% N1 or 15 secs),,,Hidden,Knowledge,0.9613823159597814,,19/05/2021,04/06/2025,,ok,opc
15,Lifting System,P2+/T2+,The transmission has demonstrated operation without oil for:,25 minutes. (The ‘facts and figures’ notes page),,,Reveal,Knowledge,0.3770687161013484,,19/05/2021,05/06/2025,,ok,
16,Uncategorised,P2+/T2+,What colour is used on the CAD to display advisories?,Green.,,,Hidden,Knowledge,0.6727983644232154,,19/05/2021,04/06/2025,,ok,
17,Powerplant,P2+/T2+,"In normal flight, where do the FADECs draw their electrical power from?",Directly from their respective alternator (PMA). (06-82),,,Reveal,Knowledge,0.06984096346423029,,19/05/2021,04/06/2025,,ok,"electrical,fadec"
18,Lifting System,P2+/T2+,Selecting the HYD TEST switch to position 1 results in:,"Simulating a leak in the No 2 HYD system, yaw pedal forces increase. (04-56)",,,Reveal,Knowledge,0.3641606136225164,,19/05/2021,05/06/2025,,ok,electrical
19,Lifting System,P2+/T2+,What fire warning system does the The MRGB bay have?,,,,Reveal,Knowledge,0.5454135234467685,,19/05/2021,05/06/2025,,ok,fire
20,Lifting System,P2+/T2+,Does the MRGB bay have fire systems?,It has no fire systems.,,,Reveal,,0.07688650023192167,,19/05/2021,04/06/2025,,ok,fire
21,Lifting System,P2+/T2+,"In addition to the Nr gauge, what are the indications when Nr ≥ 106%?",Flashing CWP caption and audio gong. (3-10 of Flight Manual),,,Reveal,Knowledge,0.757388174533844,,19/05/2021,05/06/2025,,ok,
22,Lifting System,P2+/T2+,What indications are displayed on the triple gauge?,Main rotor RPM and power turbine speeds for both engines.,,,Reveal,Knowledge,0.5387546611018479,,20/05/2021,05/06/2025,,ok,
23,Lifting System,P2+/T2+,The rotor blades of the Fenestron are unevenly spaced for what reason?,To reduce tail rotor noise. (03-26),,,Reveal,Knowledge,0.06866951938718557,,20/05/2021,04/06/2025,,ok,
24,Lifting System,P2+/T2+,How is the main rotor RPM adjusted in flight?,Automatically by the FADECS on each engine. (06-80),06-80,Training Manual,Reveal,Knowledge,0.9942209436558188,,20/05/2021,05/06/2025,,ok,fadec
25,Emergency Actions,P2+/T2+,What are the correct actions following a GEN OVHT caution in flight? (Gen Temp > 205deg),"Switch off affected GEN. If caption remains after one minute, shutdown affected engine and land as soon as practicable.",Card 17 Rev,FRCs,Reveal,Knowledge,0.9400702752172947,,20/05/2021,04/06/2025,,ok,"fadec,frc,opc"
